device_id,current,active_power,reactive_power,ts_id,device_type,device_location,device_brand,device_category,description,synthetic
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0059,0.0,-0.09,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0059,0.0,-0.08,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0059,0.0,-0.05,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0059,0.0,-0.09,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0059,0.0,-0.09,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0059,0.0,-0.09,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0059,0.0,-0.09,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.1003,22.66,-8.58,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0996,22.44,-8.61,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0996,22.47,-8.55,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0996,22.43,-8.57,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0996,22.47,-8.6,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0996,22.44,-8.6,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0996,22.49,-8.6,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0996,22.48,-8.57,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0996,22.44,-8.6,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0996,22.44,-8.6,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0996,22.44,-8.6,112569,lamp,GB,Philips,office,filament,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0054,0.0,-0.01,112570,tv,GB,LG,office,55 inch 4k ultra,0
